 ,,name,before_lateral_mean,before_posterior_mean,before_background_mean,before_lateral_median,before_posterior_median,before_background_median,after_lateral_mean,after_posterior_mean,after_background_mean,after_lateral_median,after_posterior_median,after_background_median,stage
1,0,20201119_Oocyte3,3527.223,3351.888,3226.893,3503,3344,3225,3545.182,3449.369,3231.745,3527,3432,3233,10
2,0,20201119_Oocyte5,3604.503,3439.573,3242.977,3592,3429,3244,3447.607,3494.185,3220.476,3436,3471,3220,10
3,0,20201119_Oocyte7,3548.277,3332.209,3230.73,3529,3325,3229,3607.306,3466.319,3237.34,3595,3453,3236,10
4,0,20201120_Oocyte3,3593.867,3406.657,3228.243,3564,3396,3228,3575.784,3434.703,3228.852,3550.5,3423,3226.5,10
5,0,20201124_Oocyte1,3843.839,3585.986,3239.395,3806,3566,3235.5,4126.985,3820.798,3236.846,4097,3800,3240,9
6,0,20201126_Oocyte1,3475.944,3385.618,3243.629,3464,3377,3241,3560.485,3559.654,3239.446,3547,3547,3238,10
7,0,20201126_Oocyte3,3628.282,3351.875,3233.894,3607,3345,3234,3659.26,3524.082,3247.124,3644,3510,3246,9
8,0,20201127_Oocyte1,3646.746,3423.667,3253.056,3628,3407,3252,3471.581,3374.823,3233.817,3459,3373,3235,9
9,0,20201130_Oocyte3,3422.173,3326.367,3239.548,3416.5,3319,3242,3409.944,3438.391,3234.139,3401,3421,3233.5,10
10,0,20201203_Oocyte1,3414.366,3340.94,3237.38,3410.5,3337,3237,3397.906,3371.779,3212.523,3388,3359,3212.5,9
